SNR,Accuracy,Precision,Recall,F1
-10.0,0.125,0.09375,0.125,0.10714285714285714
-5.0,0.3125,0.125,0.3125,0.17857142857142855
0.0,0.1875,0.03515625,0.1875,0.05921052631578947
5.0,0.1875,0.03515625,0.1875,0.05921052631578947
10.0,0.1875,0.03515625,0.1875,0.05921052631578947
15.0,0.1875,0.03515625,0.1875,0.05921052631578947
20.0,0.1875,0.03515625,0.1875,0.05921052631578947
25.0,0.1875,0.03515625,0.1875,0.05921052631578947
30.0,0.1875,0.03515625,0.1875,0.05921052631578947
